LaneIndex,Block,Row,Column,PeakStart,PeakEnd,PeakCenter,PeakHeight,PeakFWHM,PeakArea,"Well Center, X (pixels)","Well Center, Y (pixels)"
9,1,1,9,410,680,545,2289.47050959022,90,227579.282603479,702.5,430
43,1,2,3,370,485,430,211.622255974071,45,10068.3413085707,462.5,610
47,1,2,7,400,690,555,2089.47428604811,95,215492.415697992,622.5,610
66,1,2,26,390,675,545,147.380881874279,90,15568.8665385824,1382.5,610
67,1,2,27,400,685,545,669.587871512402,95,69837.2377492321,1422.5,610
68,1,2,28,425,695,560,1012.72350584995,90,100146.909367784,1462.5,610
74,1,2,34,420,720,545,732.17268073161,90,74103.1689550284,1702.5,610
85,1,3,5,415,680,540,582.525701929874,90,56902.361339612,542.5,790
87,1,3,7,380,650,530,252.79919945848,90,25390.4415765354,622.5,790
110,1,3,30,415,675,545,868.205141522439,90,85957.3896502673,1542.5,790
122,1,4,2,395,680,535,249.948979237776,90,25632.7154801051,422.5,970
127,1,4,7,390,660,530,538.088513547981,90,54093.1117741986,622.5,970
128,1,4,8,345,665,520,3896.67086956762,100,431883.447284632,662.5,970
136,1,4,16,415,670,540,340.554493824436,95,34199.4311014098,982.5,970
142,1,4,22,395,660,525,1497.95566629841,90,149342.334855966,1222.5,970
154,1,4,34,405,685,545,1911.84176823799,90,192071.003943764,1702.5,970
164,1,5,4,390,655,520,1501.79821934969,90,146723.731316058,502.5,1150
166,1,5,6,400,700,530,563.327986716764,90,56972.7107966967,582.5,1150
168,1,5,8,365,650,520,1407.33656727412,90,141721.955787947,662.5,1150
169,1,5,9,390,655,525,216.422658494584,90,21162.0793550617,702.5,1150
177,1,5,17,390,670,525,584.309700537503,90,59389.6543391789,1022.5,1150
178,1,5,18,375,665,530,361.83338703945,95,37629.5335900455,1062.5,1150
218,1,6,18,390,720,525,354.605196373819,100,40566.5146901189,1062.5,1330
259,1,7,19,440,755,605,668.589105695093,105,74750.337129076,1102.5,1510
260,1,7,20,390,675,525,924.091807726264,95,95141.981420458,1142.5,1510
261,1,7,21,350,655,520,1243.80040460078,95,127324.660093352,1182.5,1510
277,1,7,37,385,680,525,1073.14270015226,95,111390.370481803,1822.5,1510
280,1,7,40,395,685,530,1714.0993859865,95,176236.460533804,1942.5,1510
289,1,8,9,405,680,540,1325.2971421239,95,133229.008638607,702.5,1690
291,1,8,11,370,710,530,450.673323867295,100,51186.3362738301,782.5,1690
296,1,8,16,355,665,520,2205.11403301282,100,239062.488552295,982.5,1690
300,1,8,20,370,670,520,1789.56795533315,95,184551.392161647,1142.5,1690
304,1,8,24,395,650,525,291.60820454936,95,29468.1078314953,1302.5,1690
305,1,8,25,385,660,520,1964.30572920506,95,198825.377089514,1342.5,1690
317,1,8,37,355,720,525,269.989987964975,100,30647.1496017235,1822.5,1690
321,1,9,1,385,655,515,657.970921172692,95,66557.3588457449,382.5,1870
326,1,9,6,410,690,535,369.260806051297,90,36730.6222474566,582.5,1870
328,1,9,8,405,670,535,367.548835608285,95,36651.8464592199,662.5,1870
333,1,9,13,375,660,515,1309.44071094167,95,136018.444821283,862.5,1870
347,1,9,27,340,655,510,2156.57643758751,100,235844.208970516,1422.5,1870
395,1,10,35,375,695,530,890.528475618294,95,95310.356461486,1742.5,2050
398,1,10,38,370,660,515,336.69781353737,100,35922.366046714,1862.5,2050
399,1,10,39,370,650,510,883.327181311437,100,91766.6470864835,1902.5,2050
423,2,1,23,415,700,560,281.398147538227,90,27730.1421706129,2987.5,430
431,2,1,31,425,730,565,521.5771591158,100,56922.7756652545,3307.5,430
